Car Brand,Car Model,Model Year,Car Price (in $),Car Mileage (in miles)
Nissan,Rogue,2019,22175,30272
Mercedes-Benz,CLA,2020,39900,7609
Nissan,Rogue,2019,27788,17459
Nissan,Altima,2020,19095,46521
Mercedes-Benz,C-Class,2019,34900,18244
Mercedes-Benz,E-Class,2021,59900,6912
Mazda,Mazda6,2008,3999,155127
Mitsubishi,Outlander,2020,23869,13269
Lexus,NX,2015,22869,79754
Mercedes-Benz,GLS,2020,69900,20292
Ford,Explorer,2018,29995,28182
Toyota,Sienna,2019,23995,159635
Mercedes-Benz,Sprinter Cargo Van,2012,9995,244608
Mercedes-Benz,E-Class,2021,58900,23065
Rolls-Royce,Ghost,2018,229000,49672
Acura,ILX,2020,24969,6998
Hyundai,Santa Fe,2019,18219,95188
Mazda,CX-5,2019,25000,25698
Subaru,Forester,2019,26995,34450
Ford,Econoline Commercial Cutaway,2011,19997,28432
Lexus,LS,2019,55569,20670
Volvo,XC90,2019,45150,16908
Subaru,Outback,2019,30398,25374
BMW,X5,2019,47545,29103
Mercedes-Benz,C-Class,2019,33900,26259
Volkswagen,Jetta,2021,22995,18175
Toyota,Camry,2019,22995,49256
Mazda,Mazda3,2018,17495,29916
Nissan,Rogue,2020,20500,61309
Audi,Q5,2019,32716,34000
Chevrolet,Equinox,2019,21500,4961
Porsche,Cayenne,2020,73995,14949
Nissan,Altima,2020,21597,44764
Mercedes-Benz,GLC,2022,52335,3454
Mercedes-Benz,S-Class,2021,106900,13126
BMW,3 Series,2017,15999,48475
Bentley,Flying Spur,2020,252500,3096
Chevrolet,Express Cargo Van,2008,5942,208750
Mercedes-Benz,S-Class,2022,114778,3909
Mercedes-Benz,GLC,2022,50660,4816
Jeep,Wrangler,2020,36597,48882
Audi,Q5,2019,35036,20890
GMC,Acadia,2017,23995,55165
Honda,Civic,2019,16625,45274
Mercedes-Benz,GLS,2020,67900,38465
Nissan,Rogue,2019,15495,61410
Honda,Civic,2018,15995,28006
Jeep,Grand Cherokee,2018,29995,37849
BMW,X5,2019,49995,31190
Volkswagen,Atlas,2019,30945,34468
Mercedes-Benz,S-Class,2018,109995,20030
Chevrolet,Equinox,2019,22500,24196
Hyundai,Santa Fe,2020,24597,42589
Mazda,Mazda3,2019,19995,38438
Dodge,Durango,2015,20995,77045
Mercedes-Benz,GLS,2019,54900,29494
Audi,SQ5,2019,45131,26861
Nissan,Rogue,2019,22795,35944
Jeep,Wrangler,2017,27891,88536
Nissan,Sentra,2019,19495,13321
Mazda,CX-9,2019,28998,29935
Mazda,CX-5,2018,20995,32042
Lexus,RX,2020,45969,41312
Ford,Escape,2019,25479,29376
Nissan,Rogue,2019,21500,17625
Honda,HR-V,2019,24998,9725
Volkswagen,Jetta,2019,21995,33108
Chevrolet,Equinox,2019,21500,20830
Mercedes-Benz,Sprinter Cargo Van,2019,55181,25280
Nissan,Rogue,2016,17499,63859
Nissan,Rogue,2019,23295,20296
Nissan,Rogue,2019,23025,17671
Lexus,GX,2004,7000,196523
Mercedes-Benz,GLE,2020,54900,20955
Mitsubishi,Outlander,2020,20197,50884
Mercedes-Benz,E-Class,2014,14995,125172
Subaru,Crosstrek,2016,18995,93986
Mercedes-Benz,GLE,2020,56900,14858
Bentley,Bentayga,2018,145500,15766
Nissan,Rogue,2019,18480,65348
Jeep,Grand Cherokee,2018,28495,46475
Honda,Civic,2019,17899,41188
