Car Brand,Car Model,Model Year,Car Price (in $),Car Mileage (in miles)
Mazda,CX-5,2019,27195,39321
Mercedes-Benz,GLB,2021,39910,12883
Toyota,Camry,2018,21995,53884
Toyota,4Runner,2020,33197,54127
Chevrolet,Equinox,2019,22500,7840
GMC,Terrain,2020,24997,50134
Mercedes-Benz,GLE,2020,54828,22828
Ford,Explorer,2019,19900,140834
Honda,CR-V,2019,26990,49418
Nissan,Altima,2019,19900,48197
Nissan,Rogue,2019,23295,26958
Lincoln,MKX,2012,12995,73987
Nissan,Altima,2019,24588,25429
Hyundai,Sonata,2013,9995,96635
Lexus,GX,2019,40995,35204
Ford,Expedition,2017,14995,158824
Ram,1500 Classic,2019,25995,41290
Honda,Civic,2019,19895,20050
Honda,Accord,2014,14995,101233
Hyundai,Santa Fe Sport,2017,18898,64791
Mercedes-Benz,G-Class,2018,115900,36728
Honda,Odyssey,2016,17898,109302
Nissan,Pathfinder,2017,13995,123029
Honda,Pilot,2016,24255,77585
BMW,X5,2017,25995,75011
Volvo,XC90,2019,44990,15142
Mercedes-Benz,C-Class,2021,39930,14233
Honda,CR-V,2019,25990,49332
Jeep,Patriot,2014,9499,91154
Mercedes-Benz,GLC,2021,49773,15946
Dodge,Charger,2019,21995,59680
Ford,Fusion,2016,11999,82547
Mercedes-Benz,C-Class,2021,39949,12260
Jeep,Grand Cherokee,2014,16499,103404
Cadillac,XT5,2019,34900,21944
Nissan,Sentra,2015,8900,94989
Ford,Explorer,2020,37995,17637
Honda,Accord,2018,25419,39888
Jeep,Compass,2020,23397,53548
Ford,Econoline Cargo Van,2014,16295,189572
Mazda,CX-5,2019,26394,16865
Mitsubishi,Outlander Sport,2021,20998,13707
Ford,Explorer,2019,31995,30430
Mercedes-Benz,GLE,2020,45995,34057
INFINITI,QX60,2014,18995,79202
Audi,A4,2021,39394,12023
Nissan,Altima,2020,24099,12645
Honda,Accord,2017,12995,160747
Ford,Econoline Cargo Van,2012,10499,215715
Jeep,Compass,2016,13942,77294
Mazda,CX-5,2021,24197,43449
Ford,Explorer,2019,31995,28505
Kia,Optima,2019,15999,44794
Jeep,Cherokee,2019,24449,47411
Mercedes-Benz,C-Class,2021,39949,10544
GMC,Sierra 1500,2017,29000,51549
Nissan,Rogue,2019,24895,41219
Nissan,Maxima,2011,5995,108634
Jeep,Grand Cherokee,2019,32995,14922
Mercedes-Benz,C-Class,2021,39942,11663
Toyota,Highlander,2019,33994,30901
Mercedes-Benz,GLA,2020,38981,19427
BMW,3 Series,2018,21495,47571
Toyota,Corolla,2017,17998,43342
Chevrolet,Silverado 1500,2018,35000,36901
Mercedes-Benz,Sprinter Cargo Van,2012,15000,308162
INFINITI,QX60,2018,22915,66524
Mercedes-Benz,S-Class,2022,116484,9671
Dodge,Grand Caravan,2019,21895,64962
Mercedes-Benz,GLC,2020,39640,37684
Mercedes-Benz,GLB,2021,39769,13149
Nissan,Rogue,2017,20945,23212
Volvo,XC60,2022,46290,11517
Chevrolet,Traverse,2021,33500,10089
Ford,Edge,2022,41995,3527
Nissan,Pathfinder,2014,12459,127005
Nissan,Rogue,2020,23697,41552
Audi,Q5,2021,44976,12639
Mercedes-Benz,C-Class,2021,39923,11979
Chrysler,Pacifica,2020,26697,61950
Ford,Edge,2021,43997,5282
Jeep,Grand Cherokee,2015,15995,118998
Jeep,Grand Cherokee,2019,30495,43606
Mercedes-Benz,E-Class,2019,38495,43472
INFINITI,QX60,2019,24495,73448
BMW,5 Series,2019,31370,70688
Mitsubishi,Mirage,2020,14942,16667
Ford,Edge,2019,28995,17785
Ford,Escape,2019,22203,43064
Nissan,Rogue,2020,26889,13624
Audi,Q8,2019,57822,32699
Mercedes-Benz,GLB,2021,39956,12313
Kia,Sportage,2021,24197,45463
Kia,Sportage,2019,18990,44513
Honda,Civic,2017,17495,84247
Honda,Ridgeline,2013,11499,140290
Nissan,Sentra,2019,15995,26817
Nissan,Sentra,2018,13495,30722
Chrysler,Aspen,2008,4300,112000
Land,Rover LR2,2014,11995,107866
Toyota,Highlander,2010,10995,154588
Mercedes-Benz,C-Class,2021,39820,12317
Jeep,Grand Cherokee,2019,30995,36820
Honda,CR-V,2021,32500,8958
Kia,Optima,2015,14542,60162
Toyota,RAV4,2019,31775,25182
Ford,Explorer,2020,36995,22954
Toyota,Corolla,2011,7999,122111
Chevrolet,Traverse,2020,34500,25313
BMW,X1,2018,23995,38819
Nissan,Murano,2019,24795,30853
Lamborghini,Huracan,2015,245995,14238
Nissan,Altima,2020,19399,49921
Nissan,Sentra,2018,15995,61906
Nissan,Rogue,2018,19258,29841
Lexus,GX,2019,41990,40102
Mercedes-Benz,C-Class,2021,39983,9347
Nissan,Altima,2020,21795,41194
Audi,A5,2021,44259,10731
Hyundai,Sonata,2015,9995,120408
Toyota,Corolla,2020,20995,41952
Ford,Fusion,2013,8499,83348
Lexus,RX,2004,5995,192413
Nissan,Rogue,2020,28517,12481
Chevrolet,Tahoe,2019,37925,71490
Volkswagen,Atlas Cross Sport,2021,40000,7301
INFINITI,Q50,2018,23976,42470
Mazda,Mazda3,2018,19488,13093
Chrysler,Town & Country,2016,20995,25527
INFINITI,QX80,2017,35000,61756
Ford,Ranger,2019,33500,29023
Chevrolet,Traverse,2019,31500,60553
Dodge,Charger,2020,23995,50387
Lincoln,MKS,2015,10995,127449
Acura,TLX,2020,26536,28762
Nissan,Rogue,2013,12995,55887
Nissan,Altima,2019,13900,164174
Ford,Expedition,2010,7995,134121
Jeep,Cherokee,2019,22576,69581
Nissan,Murano,2020,34000,6939
Mercedes-Benz,GLE,2016,22888,97887
Nissan,Maxima,2011,6720,118900
Jeep,Grand Cherokee,2014,12955,134652
Ford,Expedition,2017,21998,114210
Mercedes-Benz,GLC,2021,63832,10799
Nissan,Altima,2021,28998,6529
Ford,Escape,2019,23457,18374
Porsche,911,2021,259995,4341
BMW,X3,2012,9999,143488
Porsche,Macan,2018,45995,35563
Mercedes-Benz,GLC,2018,61588,14241
Jeep,Cherokee,2019,24995,36119
Lexus,RX,2020,35326,21291
Mazda,CX-3,2019,22488,9597
Hyundai,Elantra,2020,18497,57486
Jeep,Compass,2018,17995,55136
Nissan,Murano,2021,30998,4058
Toyota,RAV4,2017,19400,94371
Honda,Odyssey,2016,16995,119655
Audi,Q7,2019,39845,45740
Ford,F-150,2020,40000,24207
Ford,F-150,2015,19999,150413
Mercedes-Benz,E-Class,2017,30995,31779
Kia,Optima,2020,17250,63218
Audi,SQ5,2018,37000,43749
Toyota,RAV4,2021,28995,15136
Ford,Super Duty F-350,2016,44445,125634
Hyundai,Tucson,2019,23495,36646
Ford,Escape,2019,20795,43554
Nissan,Rogue,2021,30297,47496
Cadillac,XT5,2019,36900,10011
Jeep,Wrangler,2018,29942,61067
Ram,1500,2014,13299,120520
Ford,Explorer,2019,29830,30992
Nissan,Rogue,2018,16900,33670
Ford,Escape,2017,13695,111205
Ford,Edge,2020,26769,29759
Chevrolet,Traverse,2019,33500,28950
Chrysler,300,2021,30897,41449
Audi,Q5,2021,44530,18019
Jeep,Compass,2019,19990,57787
INFINITI,EX35,2008,10990,108405
BMW,X6 M,2012,22995,79728
Jeep,Wrangler,2015,25777,59123
Chrysler,200,2015,5358,139000
Mercedes-Benz,Metris Passenger Van,2018,24500,79170
Nissan,Altima,2015,8995,58062
Mercedes-Benz,C-Class,2021,44247,22789
Ram,1500,2020,41995,32901
Nissan,Altima,2020,18777,50738
GMC,Terrain,2016,9799,119358
Nissan,Rogue Sport,2019,17704,31958
Toyota,4Runner,2022,37597,49696
Toyota,C-HR,2019,21495,53253
Mercedes-Benz,C-Class,2018,25999,39057
Honda,CR-V,2019,26995,36359
Chevrolet,Equinox,2019,19699,42484
Ford,Edge,2019,29995,34100
Toyota,Corolla,2020,18900,46348
Ford,Econoline Cargo Van,2014,18595,147554
Honda,Civic,2015,14675,95416
Lexus,RX,2019,38645,44922
Chevrolet,Silverado 1500,2019,35000,31197
Toyota,Camry,2018,27995,36683
Audi,A4,2014,15495,56446
Chrysler,300,2017,21995,46592
Hyundai,Accent,2019,9999,136255
Hyundai,Sonata,2019,24895,27845
Audi,A4,2019,31890,36881
Volkswagen,Jetta,2020,19797,40468
Audi,Q3,2021,39685,9469
Lamborghini,Urus,2019,245995,17554
BMW,X5,2018,24990,89274
BMW,X2,2019,27995,34033
Chevrolet,Tahoe,2019,40758,60996
Jeep,Cherokee,2019,23695,43275
BMW,8 Series,2021,71995,22290
Subaru,Crosstrek,2019,27500,17325
Toyota,Corolla,2020,15999,33285
Audi,Q7,2018,37237,60163
Chevrolet,Silverado 1500,2015,25542,65738
Jeep,Patriot,2014,6499,141367
Honda,Odyssey,2010,7000,175918
Ram,1500,2017,25542,65320
Toyota,Highlander,2019,32675,22859
Ram,1500 Classic,2019,30500,28648
Jeep,Grand Cherokee,2019,29995,38578
Mercedes-Benz,C-Class,2021,39949,7492
Toyota,Camry,2019,19250,94661
GMC,Canyon,2015,21995,100161
Mercedes-Benz,A-Class,2019,34900,16710
Hyundai,Kona,2020,20297,55831
Ford,Explorer,2018,25000,74185
Ford,Econoline Cargo Van,2013,13799,186948
Porsche,911,2019,168995,6642
Mercedes-Benz,GLE,2020,47995,29993
Jeep,Cherokee,2015,15995,90446
Honda,Civic,2015,12859,98000
Dodge,Charger,2019,19999,32204
Nissan,Altima,2006,3942,143017
Ford,Explorer,2017,16895,122901
Honda,Civic,2019,19995,23677
Dodge,Grand Caravan,2020,18775,77062
Kia,Sportage,2019,19294,24310
BMW,3 Series,2014,11404,127000
BMW,X3,2019,33495,30302
Mercedes-Benz,GLA,2021,49900,1440
Ford,F-150,2021,63995,6750
Toyota,Camry,2017,19588,55007
Toyota,RAV4,2016,24995,42483
Chevrolet,Equinox,2019,19723,44989
Nissan,Altima,2019,16995,73479
Ford,Edge,2019,29295,15819
Mercedes-Benz,M-Class,2010,9950,128429
Toyota,RAV4,2019,22126,40981
Nissan,Altima,2020,18990,42747
Ram,1500,2014,16799,139906
Mercedes-Benz,GLC,2018,42000,35456
Lincoln,Aviator,2020,43995,67597
INFINITI,QX50,2019,31400,44896
Mercedes-Benz,GLC,2019,35452,32080
Nissan,Altima,2018,14490,61944
Chevrolet,Equinox,2019,24540,38828
BMW,3 Series,2018,20979,31039
Kia,Sportage,2021,23097,43786
Subaru,XV Crosstrek,2013,10199,106266
Nissan,Rogue,2019,25886,28523
Mercedes-Benz,C-Class,2021,40001,11020
Nissan,Rogue,2019,18990,49868
Dodge,Grand Caravan,2020,24597,49136
Mercedes-Benz,S-Class,2022,129900,3416
BMW,3 Series,2018,20450,47858
Ford,Fusion,2018,15995,74042
Dodge,Durango,2017,26995,88908
Ram,1500,2014,13995,131143
Mercedes-Benz,GLS,2021,91689,1398
Hyundai,Tucson,2020,21995,39131
BMW,5 Series,2014,17495,91400
Ford,Bronco Sport,2021,35000,4049
BMW,X5,2018,32995,43872
Volvo,S60,2002,2950,256436
Volvo,XC90,2019,44880,18645
Lexus,LX,2017,62999,39500
Honda,CR-V,2012,13942,111799
INFINITI,QX60,2017,21500,89661
Jeep,Cherokee,2019,27995,19024
Ford,Edge,2019,22880,26774
Lexus,RX,2019,38495,23585
Ford,Explorer,2016,14995,107120
Buick,Enclave,2015,12599,123091
Mercedes-Benz,M-Class,2011,13995,93091
Toyota,Yaris,2008,4000,180000
Ford,Super Duty F-250,2019,57998,41239
Toyota,Camry,2017,14300,68917
Toyota,Camry,2021,27058,9628
Jeep,Grand Cherokee,2018,27990,32091
Kia,Soul,2018,16542,33825
Nissan,Altima,2020,20995,61907
Jeep,Grand Cherokee,2014,15785,118626
Ford,Super Duty F-350,2019,61725,77736
Mercedes-Benz,GLS,2019,43988,45873
Cadillac,XT5,2019,33900,38052
Audi,A4,2019,30500,33059
Honda,CR-V,2019,27995,28673
Ford,Edge,2013,8699,152040
GMC,Savana Cargo Van,2010,9199,214371
Audi,Q5,2019,33000,36135
Volkswagen,Tiguan,2019,29995,29021
BMW,3 Series,2018,26495,30198
Nissan,Rogue,2019,26998,26839
Chrysler,Town & Country,2014,6995,166798
Lexus,RX,2019,42994,41935
Nissan,Rogue,2020,15995,58886
Porsche,Taycan,2021,126995,8422
Volvo,XC40,2019,36995,17880
Ford,EcoSport,2020,21995,8301
Jeep,Grand Cherokee,2019,29495,62537
Chevrolet,Blazer,2019,36500,17904
Ram,1500,2019,33950,64638
Volvo,XC90,2014,10495,136401
Kia,Rio,2018,14542,30752
Nissan,Rogue,2015,8995,167187
Nissan,Rogue,2019,18450,55222
Mercedes-Benz,C-Class,2021,39947,13062
Ford,Fiesta,2015,6499,97444
Jeep,Grand Cherokee,2018,26990,36529
INFINITI,QX60,2019,30999,52416
Ford,F-150,2013,16742,139937
Mitsubishi,Outlander Sport,2020,19897,46264
Hyundai,Elantra,2017,11109,92540
Kia,Sorento,2012,11495,109800
Honda,CR-V,2013,15395,111344
Honda,Accord,2018,23295,38768
Nissan,Rogue,2020,29306,8644
Volkswagen,Jetta,2019,16900,89104
Ford,Escape,2018,21995,55053
Lexus,RX,2011,14899,103396
INFINITI,QX60,2016,11999,165555
Jeep,Patriot,2015,8299,112973
Dodge,Journey,2017,11798,92195
Mercedes-Benz,S-Class,2021,121110,57
Mercedes-Benz,C-Class,2016,19777,72106
Honda,Civic,2017,14500,73000
Nissan,Pathfinder,2015,10199,138418
BMW,4 Series,2018,29995,32497
Toyota,Corolla,2010,7999,116221
BMW,3 Series,2018,23995,49021
Volvo,XC90,2020,48700,20913
Ford,Escape,2013,8995,122799
Ford,Explorer,2019,32995,25739
BMW,5 Series,2015,17981,81384
Acura,MDX,2020,41000,23069
Toyota,RAV4,2020,29997,43337
Mazda,Mazda3,2009,8250,148560
Nissan,Pathfinder,2019,23895,40749
Mercedes-Benz,CLA,2018,24495,38464
Chevrolet,Malibu,2016,20000,13866
Dodge,Durango,2018,29995,58884
Mercedes-Benz,S-Class,2022,119849,3585
Chevrolet,Traverse,2019,26993,65197
Mercedes-Benz,C-Class,2021,39889,9787
Toyota,RAV4,2019,30495,26724
Toyota,Camry,2021,25497,41918
Ford,Econoline Cargo Van,2010,10499,166244
Honda,Pilot,2019,32999,43139
Honda,Accord,2018,19566,149534
Toyota,Camry,2019,22990,33066
Chevrolet,Trailblazer,2006,4495,126986
Ford,Explorer,2018,32995,22775
Mazda,CX-5,2019,28995,24330
Ford,Explorer,2019,29540,41526
Honda,CR-V,2019,26199,25251
Nissan,Pathfinder,2014,16995,52427
Mazda,CX-5,2020,28588,18739
Audi,Q5,2019,29900,33587
Mercedes-Benz,C-Class,2018,23495,62739
Toyota,RAV4,2019,28695,40904
Volkswagen,Tiguan,2019,19899,113188
Volvo,XC60,2019,36401,20192
Jeep,Cherokee,2019,28000,55642
Chevrolet,Traverse,2020,33500,29326
Chevrolet,Traverse,2020,33500,29326
Ford,F-150,2020,38995,18669
GMC,Acadia,2019,19995,92325
Audi,A4,2021,38886,12587
Toyota,RAV4,2019,32764,5760
Ford,Escape,2008,3999,140168
BMW,3 Series,2015,19695,81137
Toyota,Tacoma,2020,35297,47059
Toyota,Highlander,2016,16995,106658
Honda,Accord,2020,23995,47212
Honda,Accord,2020,24995,63023
Volkswagen,Atlas,2021,47997,5341
Mercedes-Benz,GLB,2021,39947,13177
Toyota,Camry,2017,17998,90400
Kia,Optima,2018,18995,35414
Mazda,CX-5,2021,24697,41188
Porsche,Cayenne,2019,68995,28468
Toyota,Corolla,2016,15179,69269
Chevrolet,Malibu,2019,20000,31337
Jeep,Compass,2018,18995,40377
Mercedes-Benz,E-Class,2017,22995,69031
Honda,Accord,2019,22490,33979
Volkswagen,Passat,2016,16742,67947
Ford,Escape,2019,22999,39956
Mercedes-Benz,C-Class,2021,39903,13308
Toyota,RAV4,2008,6995,122353
BMW,X6,2014,23995,62705
Bentley,Flying Spur,2020,249000,4019
Mercedes-Benz,GLA,2020,32500,19298
Honda,Civic,2019,20610,34348
BMW,5 Series,2018,23995,56615
Honda,Civic,2012,11885,126271
Toyota,Camry,2022,31942,73
Mercedes-Benz,C-Class,2019,34900,23192
BMW,X3,2018,23899,95000
Kia,Sorento,2017,9977,134384
Jeep,Compass,2019,22995,32574
Hyundai,Sonata,2021,21985,22877
Lexus,NX,2019,30739,37553
Nissan,Altima,2013,6999,153730
Chevrolet,Traverse,2020,28000,53000
Ford,Escape,2019,22495,30893
Dodge,Journey,2016,10799,102086
MINI,Hardtop,2019,25998,35505
Ford,Expedition,2018,42995,68109
Honda,CR-V,2019,25991,36729
Lincoln,MKC,2019,30900,23027
Honda,Accord,2010,7885,139998
Volkswagen,Atlas,2018,32995,22075
Ford,Econoline Cargo Van,2012,11699,204860
Mercedes-Benz,S-Class,2022,117384,5716
Jeep,Cherokee,2019,26495,27596
Subaru,Crosstrek,2019,26588,20024
Nissan,Sentra,2019,16450,26241
Nissan,Murano,2019,31500,12000
BMW,8 Series,2020,71995,3647
Jeep,Grand Cherokee,2019,32995,40526
Honda,CR-V,2019,33516,1273
Nissan,Rogue Sport,2019,24000,40391
Mercedes-Benz,C-Class,2021,39974,9927
Nissan,Rogue Sport,2019,24000,40391
Lexus,ES,2020,39469,13381
Ram,1500,2016,27742,99228
Porsche,Panamera,2018,82995,36831
Ford,F-150,2020,48998,20317
Chevrolet,Blazer,2019,32000,28855
Ford,Fusion,2017,16499,41788
BMW,7 Series,2019,52004,41930
Kia,Sorento,2019,24895,31510
Honda,CR-V,2014,17295,98853
Honda,Pilot,2017,24469,56137
Volkswagen,Jetta,2019,15990,55603
Land,Rover Range Rover Sport,2016,48800,47608
Dodge,Challenger,2021,53000,1474
BMW,4 Series,2019,29995,31710
Mercedes-Benz,E-Class,2017,24995,78018
Ford,F-150,2020,40999,23656
Toyota,Tacoma,2017,29695,88139
Mercedes-Benz,E-Class,2019,36900,36831
Ford,Edge,2018,20995,35214
Honda,CR-V,2019,31133,21626
Jeep,Cherokee,2020,21190,71721
Audi,Q3,2021,38677,7162
Hyundai,Elantra,2019,15191,66000
Nissan,Altima,2018,17981,58904
Nissan,Rogue,2019,24495,35740
Ford,Escape,2019,24631,11178
Land,Rover Range Rover Sport,2016,31745,85389
Mercedes-Benz,GLB,2021,40954,14066
GMC,Acadia,2017,18999,120510
BMW,X3,2019,28995,60264
Nissan,Altima,2020,21994,50408
BMW,X1,2018,19944,74558
Honda,HR-V,2022,28995,488
Mercedes-Benz,S-Class,2019,61775,21808
Audi,Q5,2016,20995,83326
Jeep,Grand Cherokee,2018,31998,33483
Lexus,GX,2020,47069,40021
Audi,Q3,2020,36500,18257
BMW,X6,2013,18995,116729
Nissan,Pathfinder,2018,21000,34084
Porsche,Cayenne,2009,10495,106316
Nissan,Pathfinder,2019,25595,31685
Nissan,Rogue,2020,29163,10528
Hyundai,Sonata,2019,15999,35868
Dodge,Charger,2021,37000,21344
Mercedes-Benz,GLE,2020,47498,48160
Ford,Expedition,2006,3995,131899
Mercedes-Benz,C-Class,2018,27895,40297
Chevrolet,Equinox,2019,12900,169591
INFINITI,QX50,2019,22958,93901
BMW,X1,2018,18990,83628
Honda,CR-V,2019,28681,35830
Chevrolet,Equinox,2020,24777,22224
Jeep,Grand Cherokee,2019,32350,33069
Toyota,Corolla,2019,19999,43979
Toyota,RAV4,2020,36995,30917
Ford,F-150,2016,24995,80296
Nissan,Armada,2014,12599,124224
Volkswagen,Tiguan,2019,28995,45169
Ford,Explorer,2018,25998,84020
Nissan,Rogue,2018,17998,53672
Ford,Taurus,2011,5499,189772
Hyundai,Elantra,2017,12325,67951
Ford,Explorer,2021,40781,7948
Honda,CR-V,2019,30787,16925
Nissan,Rogue,2020,28936,13419
Toyota,Highlander,2002,3999,159011
Lexus,NX,2019,29605,37401
Volvo,XC90,2004,5995,100401
Honda,CR-V,2019,27599,41153
Mitsubishi,Outlander Sport,2021,21097,41612
GMC,Terrain,2019,24812,30810
GMC,Acadia,2016,13995,117036
Kia,Optima,2015,10795,97041
Mercedes-Benz,S-Class,2019,59995,46985
Kia,Forte,2010,3995,96130
Chevrolet,Equinox,2019,12900,146484
Nissan,Altima,2014,9999,85462
Toyota,RAV4,2019,28887,25783
Mercedes-Benz,GLC,2021,47999,3998
BMW,4 Series,2019,32495,12089
Honda,CR-V,2019,23738,20703
Chevrolet,Traverse,2020,35000,25285
Nissan,Sentra,2017,14667,23491
Nissan,Altima,2018,18998,64475
Honda,CR-V,2019,25990,37700
Subaru,Outback,2019,23995,44915
Jeep,Cherokee,2014,16542,61756
Mercedes-Benz,C-Class,2021,39939,9162
Lincoln,Continental,2020,28697,47513
Land,Rover Range Rover,2018,79999,40873
GMC,Terrain,2014,6995,155965
Lexus,GX,2013,25995,75912
Jeep,Gladiator,2020,47942,27024
BMW,7 Series,2016,32995,87908
Honda,CR-V,2019,27742,25905
Ford,Escape,2018,15495,78922
Mercedes-Benz,GLC,2021,43795,20398
Mercedes-Benz,E-Class,2021,59900,7175
Nissan,Altima,2021,28268,3813
Nissan,Altima,2020,20395,68143
Lexus,NX,2020,36495,33763
Nissan,Altima,2016,9948,85277
Chevrolet,Cruze,2017,12999,100482
Jeep,Commander,2007,5999,110935
Ford,Escape,2020,19995,101186
Ram,1500,2019,39995,48320
Ford,Escape,2016,9995,137850
Jeep,Grand Cherokee,2008,6950,135970
Ford,Mustang,2021,29097,40085
INFINITI,QX60,2018,22870,90717
Audi,A4,2021,39313,10773
Chevrolet,Tahoe,2019,39000,31667
Jeep,Grand Cherokee,2018,25995,82116
Ford,Expedition,2017,19444,116718
Audi,Q7,2018,37990,45171
BMW,X5 M,2022,108745,5960
Jeep,Cherokee,2017,15777,79797
BMW,5 Series,2018,32999,41856
Mercedes-Benz,GLC,2019,30399,39079
Mercedes-Benz,GLE,2019,62000,23989
Toyota,Corolla,2020,21195,49940
Acura,RDX,2019,29995,54965
Nissan,Altima,2021,25097,48437
Jeep,Grand Cherokee,2019,26995,38240
Jeep,Grand Cherokee,2018,28000,56030
Toyota,RAV4,2016,20000,25493
Honda,Fit,2019,18995,26938
Toyota,Camry,2016,18133,56000
Ford,Econoline Cargo Van,2009,12299,175805
Ford,Explorer,2019,36995,28301
Ford,Explorer,2020,37995,12320
Ford,Explorer,2020,31995,54424
BMW,X1,2017,22990,43242
Lexus,RX,2004,4995,178175
Mazda,Mazda6,2021,24497,45507
Honda,CR-V,2019,27042,28168
Ford,Escape,2019,23995,33288
Nissan,Frontier,2015,17999,108766
Ford,Explorer,2015,13994,105635
Honda,Odyssey,2016,17995,141197
Ford,Explorer,2019,29995,44115
Chrysler,Pacifica,2020,25954,62542
Mazda,CX-5,2019,26995,32070
Ford,F-150,2020,43998,16072
Toyota,Corolla,2016,16450,35744
Buick,Envision,2019,22995,64200
Kia,Sorento,2019,23000,45783
Ford,Edge,2019,28995,8051
Jeep,Grand Cherokee,2018,31995,19134
Hyundai,Tucson,2019,18490,61055
Acura,MDX,2019,30222,34612
Hyundai,Elantra,2017,10739,98840
Hyundai,Sonata,2013,5499,162000
Kia,Sportage,2020,30995,28923
Mercedes-Benz,GLA,2019,27995,65541
Jeep,Compass,2019,17500,36150
Jeep,Cherokee,2019,25995,31153
Ford,F-150,2017,50995,43334
Mercedes-Benz,E-Class,2004,6300,130300
Audi,Q3,2021,38886,8232
Hyundai,Elantra,2013,6995,112159
Honda,Accord,2014,12995,103541
Volkswagen,Tiguan,2017,20000,56047
Honda,Accord,2020,26999,60819
Honda,CR-V,2019,29495,46322
Jeep,Cherokee,2019,27495,14898
Mercedes-Benz,GLS,2019,56938,21190
Mercedes-Benz,GLC,2022,47350,7739
Chevrolet,Malibu,2020,23998,46968
Toyota,Camry,2020,23695,43000
Ram,1500 Classic,2020,26995,44973
Nissan,Sentra,2017,17211,39500
Chevrolet,Equinox,2017,17500,53951
Lamborghini,Urus,2021,308995,4332
Honda,Odyssey,2011,10995,95888
Kia,Sorento,2020,26995,51920
Audi,SQ5,2019,41899,42412
Mercedes-Benz,C-Class,2014,15981,70975
Acura,ILX,2017,18096,71000
Hyundai,Santa Fe,2019,25995,34485
Ford,Explorer,2018,29788,29063
Toyota,Corolla,2020,19900,42596
Ford,Escape,2019,23495,33152
Ram,1500,2016,20999,135209
Honda,Pilot,2020,35994,19192
Honda,HR-V,2020,26000,27887
Acura,MDX,2020,38414,24372
Ford,Expedition,2019,49995,42474
Rolls-Royce,Ghost,2010,99995,49111
Nissan,Rogue Sport,2017,18500,72723
BMW,M6,2006,21995,45959
Jeep,Grand Cherokee,2015,17990,103569
Nissan,Altima,2019,24995,46630
Ford,Edge,2020,28995,34786
Chevrolet,Traverse,2019,26000,19570
Mazda,CX-5,2019,25995,37054
Toyota,RAV4,2019,27199,88948
BMW,5 Series,2019,37029,36145
Toyota,Camry,2012,9500,138503
Jeep,Cherokee,2019,25777,23258
McLaren,600LT,2019,239000,6285
Subaru,Crosstrek,2019,26188,30021
Maserati,Levante,2019,53245,41199
Ford,Explorer,2020,47695,13398
Mercedes-Benz,GLC,2018,40985,45213
Audi,A5,2018,32886,30978
Ford,Transit Cargo Van,2015,20942,144495
Ford,Fusion,2018,18995,78663
Nissan,Altima,2019,24995,28185
Lincoln,MKX,2015,11599,106368
Honda,CR-V,2019,28515,26331
Honda,CR-V,2004,4995,138741
Mercedes-Benz,S-Class,2020,78900,25351
Honda,Civic,2013,6999,209101
Land,Rover Range Rover Velar,2019,42695,57490
Audi,Q5,2014,14595,103059
Nissan,Sentra,2019,20395,3289
BMW,5 Series,2019,33795,42103
Ford,Edge,2019,28495,23181
Nissan,Rogue,2016,15995,88598
BMW,X5,2019,46995,33204
Nissan,Altima,2016,14000,87000
BMW,7 Series,2019,59995,34502
Mercedes-Benz,E-Class,2019,42995,42962
Mercedes-Benz,GL,2015,24995,113541
Jeep,Compass,2016,9499,122455
Nissan,Rogue,2016,14540,46977
Jeep,Wrangler,2018,34995,48769
Honda,CR-V,2021,31942,17788
Chevrolet,Equinox,2020,19990,49772
Jeep,Grand Cherokee,2011,7000,100000
Mazda,CX-9,2011,7299,124848
Nissan,Rogue,2018,22362,29963
Volvo,V60 Cross Country,2022,48990,3863
Toyota,4Runner,2021,39097,41098
Jeep,Grand Cherokee,2019,39495,9991
Cadillac,XT6,2021,49500,23286
Chevrolet,Express Cargo Van,2013,10950,209875
Mercedes-Benz,C-Class,2019,28988,33926
Buick,Century,2005,4819,75409
Chrysler,300,2019,23895,39231
Volvo,XC60,2018,37995,26634
Chevrolet,Malibu,2020,21998,66969
Chevrolet,Equinox,2021,25500,12284
Jeep,Grand Cherokee,2015,18995,100871
Tesla,Model Y,2020,65998,25501
Ram,1500,2015,19995,69726
Mazda,CX-5,2019,28995,26944
Subaru,WRX,2022,38488,149
Ford,Escape,2022,36997,4819
Mercedes-Benz,GLC,2019,32995,42958
Jeep,Compass,2020,26500,20829
Nissan,Pathfinder,2015,11999,101210
Nissan,Armada,2011,6499,178325
Mercedes-Benz,GLE,2020,44995,55386
Nissan,Pathfinder,2019,23500,27022
GMC,Sierra 1500,2021,50500,10331
Ford,Edge,2013,10495,130306
Honda,Civic,2019,18790,36863
Mercedes-Benz,E-Class,2010,10777,104803
Honda,CR-V,2017,22995,17885
Ford,Fusion,2019,18895,62771
BMW,4 Series,2019,28995,37092
Land,Rover Range Rover,2016,41885,69194
Toyota,Camry,2020,23900,44809
Hyundai,Sonata,2011,5542,203420
Honda,CR-V,2019,26492,31294
Toyota,Tundra,2019,50995,11859
Bentley,Flying Spur,2016,109000,30000
Mercedes-Benz,E-Class,2019,42996,11957
Ford,Escape,2016,9995,145340
Nissan,Rogue,2019,23935,30469
Toyota,4Runner,2021,38797,42126
Honda,CR-V,2018,22934,111421
Ford,Edge,2019,27995,37809
Nissan,Rogue,2018,18490,51955
BMW,5 Series,2012,8395,117240
